SalesID,Product,Region,Sales,Year
1,Product D,South,755,2021
2,Product E,East,534,2023
3,Product C,North,185,2023
4,Product E,North,796,2021
5,Product E,West,384,2021
6,Product B,East,319,2022
7,Product C,Central,168,2023
8,Product C,East,146,2023
9,Product C,West,193,2021
10,Product E,West,849,2022
11,Product D,East,552,2023
12,Product C,West,303,2023
13,Product E,East,317,2022
14,Product B,South,573,2022
15,Product D,East,531,2023
16,Product B,East,440,2023
17,Product D,West,650,2022
18,Product E,West,711,2023
19,Product A,North,388,2021
20,Product D,North,353,2021
21,Product B,South,833,2022
22,Product E,North,456,2022
23,Product D,East,122,2022
24,Product A,West,861,2021
25,Product A,North,621,2023
26,Product C,North,857,2021
27,Product C,South,936,2023
28,Product B,South,199,2021
29,Product D,East,901,2023
30,Product D,West,279,2021
31,Product C,South,322,2022
32,Product D,North,861,2021
33,Product D,West,758,2023
34,Product A,West,541,2021
35,Product C,North,707,2021
36,Product E,South,868,2021
37,Product C,North,424,2022
38,Product E,West,615,2021
39,Product A,Central,115,2022
40,Product B,Central,891,2022
41,Product D,East,435,2021
42,Product A,North,858,2021
43,Product D,North,357,2021
44,Product B,East,596,2023
45,Product B,East,995,2021
46,Product A,East,259,2022
47,Product B,West,574,2021
48,Product E,North,951,2023
49,Product B,West,763,2021
50,Product D,East,789,2023
51,Product D,North,774,2023
52,Product D,West,479,2021
53,Product D,West,644,2022
54,Product E,East,790,2023
55,Product C,North,526,2021
56,Product A,East,712,2021
57,Product D,North,367,2022
58,Product B,Central,934,2023
59,Product D,South,676,2023
60,Product B,South,516,2021
61,Product B,South,267,2021
62,Product D,East,941,2022
63,Product E,Central,142,2022
64,Product B,North,655,2023
65,Product B,West,384,2023
66,Product D,North,496,2021
67,Product B,West,111,2023
68,Product B,North,706,2022
69,Product D,Central,401,2022
70,Product D,West,997,2021
71,Product A,East,352,2022
72,Product E,North,598,2022
73,Product E,North,853,2022
74,Product B,West,134,2022
75,Product E,East,826,2021
76,Product B,East,948,2021
77,Product A,Central,189,2023
78,Product D,East,875,2022
79,Product D,East,704,2023
80,Product D,East,701,2021
81,Product E,South,517,2021
82,Product A,Central,214,2021
83,Product E,North,716,2021
84,Product E,West,295,2021
85,Product A,North,925,2021
86,Product A,Central,600,2021
87,Product A,West,725,2022
88,Product A,Central,592,2023
89,Product D,East,174,2021
90,Product C,West,512,2022
91,Product C,East,475,2022
92,Product A,North,519,2023
93,Product C,North,828,2021
94,Product C,West,376,2023
95,Product A,West,860,2021
96,Product C,Central,775,2022
97,Product E,Central,493,2022
98,Product B,East,968,2022
99,Product B,West,556,2022
100,Product A,North,291,2023
101,Product D,Central,838,2021
102,Product A,Central,788,2021
103,Product D,North,198,2023
104,Product B,Central,647,2021
105,Product A,East,195,2022
106,Product E,West,763,2021
107,Product C,North,762,2022
108,Product D,West,289,2023
109,Product C,Central,835,2021
110,Product C,Central,136,2023
111,Product A,North,879,2021
112,Product C,East,468,2022
113,Product E,South,794,2023
114,Product C,North,624,2021
115,Product A,South,378,2022
116,Product E,South,316,2023
117,Product B,East,966,2023
118,Product C,South,972,2021
119,Product A,South,897,2021
120,Product B,East,372,2021
121,Product B,South,980,2022
122,Product D,South,161,2021
123,Product E,South,695,2023
124,Product C,North,979,2023
125,Product A,North,828,2021
126,Product D,North,441,2021
127,Product E,East,496,2023
128,Product D,Central,798,2022
129,Product E,South,118,2021
130,Product E,South,276,2021
131,Product C,East,711,2023
132,Product E,South,495,2021
133,Product D,North,544,2022
134,Product E,Central,332,2023
135,Product C,West,175,2021
136,Product C,South,364,2023
137,Product D,North,554,2021
138,Product B,West,895,2021
139,Product B,Central,817,2021
140,Product E,West,834,2022
141,Product A,North,483,2022
142,Product E,West,663,2023
143,Product D,East,950,2021
144,Product D,West,605,2021
145,Product D,South,466,2022
146,Product D,South,243,2021
147,Product D,East,984,2022
148,Product C,North,168,2021
149,Product B,South,198,2023
150,Product D,Central,495,2021
151,Product A,South,124,2021
152,Product A,South,990,2022
153,Product A,North,568,2021
154,Product A,West,583,2021
155,Product C,South,664,2022
156,Product A,East,250,2023
157,Product D,West,243,2023
158,Product E,Central,668,2022
159,Product A,North,138,2022
160,Product C,Central,208,2022
161,Product C,West,792,2022
162,Product A,West,141,2022
163,Product E,West,285,2023
164,Product A,Central,497,2023
165,Product C,West,322,2022
166,Product B,Central,733,2021
167,Product D,West,232,2022
168,Product C,East,262,2021
169,Product A,West,314,2022
170,Product D,Central,832,2022
171,Product A,South,334,2023
172,Product A,West,942,2021
173,Product B,South,757,2021
174,Product D,East,850,2023
175,Product D,North,687,2023
176,Product B,East,108,2023
177,Product C,West,173,2023
178,Product A,South,591,2021
179,Product E,South,352,2021
180,Product A,Central,329,2022
181,Product A,South,618,2022
182,Product C,Central,273,2023
183,Product A,North,752,2023
184,Product B,West,267,2023
185,Product B,Central,269,2022
186,Product D,North,492,2022
187,Product E,South,894,2022
188,Product A,South,733,2022
189,Product A,North,293,2022
190,Product C,South,616,2022
191,Product B,North,128,2022
192,Product E,Central,264,2023
193,Product D,Central,521,2023
194,Product B,North,438,2023
195,Product D,Central,747,2023
196,Product C,Central,595,2022
197,Product C,Central,464,2021
198,Product A,East,932,2022
199,Product E,West,441,2021
200,Product D,South,599,2023
